mnemonic,unit_name,inserted_at,updated_at
splticr,Not Applicable,5/4/18,5/4/18
prrpe,In Millions,5/4/18,5/4/18
ppopcc,In Millions,5/4/18,5/4/18
prba,In Millions,5/4/18,5/4/18
fincf,In Millions,5/4/18,5/4/18
share_repo,In Millions,5/4/18,5/4/18
pptbs,In Millions,5/4/18,5/4/18
pprpa,In Millions,5/4/18,5/4/18
lse,In Millions,5/4/18,5/4/18
proaj,In Millions,5/4/18,5/4/18
spsticr,Not Applicable,5/4/18,5/4/18
sale_fy4,In Millions,5/4/18,5/4/18
sale_fy5,In Millions,5/4/18,5/4/18
rd,In Millions,5/4/18,5/4/18
capx_dp,In Percent,5/4/18,5/4/18
cf_investmt,In Millions,5/4/18,5/4/18
cf_oper,In Millions,5/4/18,5/4/18
dev,In Percent,5/4/18,5/4/18
divyield,In Percent,5/4/18,5/4/18
epspx_adj,In Single Unit,5/4/18,5/4/18
ebitda_marg,In Percent,5/4/18,5/4/18
fcf,In Millions,5/4/18,5/4/18
rectr_calc,In Millions,5/4/18,5/4/18
mva1,In Millions,5/4/18,5/4/18
mva2,In Millions,5/4/18,5/4/18
roe,In Percent,5/4/18,5/4/18
ps,Ratio,5/4/18,5/4/18
dp_marg,In Percent,5/4/18,5/4/18
wc_ic,In Percent,5/4/18,5/4/18
wc_ic_gw,In Percent,5/4/18,5/4/18
ppent_ic_gw,In Percent,5/4/18,5/4/18
intan_ic_gw,In Percent,5/4/18,5/4/18
xrd_marg,In Percent,5/4/18,5/4/18
gdwl_marg,In Percent,5/4/18,5/4/18
td_prl,In Millions,5/4/18,5/4/18
capx_ppe,Ratio,5/4/18,5/4/18
tr,In Percent,5/4/18,5/4/18
lat,In Millions,5/4/18,5/4/18
ltl_pstk,In Millions,5/4/18,5/4/18
nev_ebit,Ratio,5/4/18,5/4/18
nev_ebitda,Ratio,5/4/18,5/4/18
nev_ic_gw,Ratio,5/4/18,5/4/18
d_lease,Ratio,5/4/18,5/4/18
cash_mcap,In Percent,5/4/18,5/4/18
intan_net_m,In Millions,5/4/18,5/4/18
life_l,Ratio,5/4/18,5/4/18
ib,In Millions,5/4/18,5/4/18
gp,In Millions,5/4/18,5/4/18
xsga_m,In Millions,5/4/18,5/4/18
cf_oper_marg,In Percent,5/4/18,5/4/18
fcf_marg,In Percent,5/4/18,5/4/18
intano,In Millions,5/4/18,5/4/18
roa,In Percent,5/4/18,5/4/18
capx_sale,In Percent,5/4/18,5/4/18
invt_doh,Ratio,5/4/18,5/4/18
dynamic_liquidity,In Percent,5/4/18,5/4/18
maturity_squeeze,In Percent,5/4/18,5/4/18
dpo,Ratio,5/4/18,5/4/18
dro,Ratio,5/4/18,5/4/18
td_ebitda,In Percent,5/4/18,5/4/18
ccc,Ratio,5/4/18,5/4/18
capital_employed,In Millions,5/4/18,5/4/18
xad,In Millions,5/4/18,5/4/18
rote,In Percent,5/4/18,5/4/18
ev_noplat,Ratio,5/4/18,5/4/18
ceq_no_intan,In Millions,5/4/18,5/4/18
mb_no_intan,Ratio,5/4/18,5/4/18
roe_no_intan,In Percent,5/4/18,5/4/18
div_payout_ratio,In Percent,5/4/18,5/4/18
net_iint,In Millions,5/4/18,5/4/18
op_revt_bank,In Millions,5/4/18,5/4/18
nev_sale_cy,Ratio,5/4/18,5/4/18
revt_at_bnk,In Percent,5/4/18,5/4/18
current_ratio,Ratio,5/4/18,5/4/18
ebita_adj_l_marg,In Percent,5/4/18,5/4/18
cumtrs10y,In Percent,5/4/18,5/4/18
trs20y,In Percent,5/4/18,5/4/18
cumtrs5y,In Percent,5/4/18,5/4/18
cumtrs7y,In Percent,5/4/18,5/4/18
intan_incre,In Millions,5/4/18,5/4/18
cumtrs20y,In Percent,5/4/18,5/4/18
ceq_incre,In Millions,5/4/18,5/4/18
che_incre,In Millions,5/4/18,5/4/18
iva_incre,In Millions,5/4/18,5/4/18
td_incre,In Millions,5/4/18,5/4/18
pbpro,In Millions,5/4/18,5/4/18
ebita_usd,In Millions,5/4/18,5/4/18
ic_gw_usd_sa2,In Millions,5/4/18,5/4/18
ic_usd_sa2,In Millions,5/4/18,5/4/18
prccm_a_adj_primiss,In Single Unit,5/4/18,5/4/18
trs7y,In Percent,5/4/18,5/4/18
trs15y,In Percent,5/4/18,5/4/18
saleg5y,In Percent,5/4/18,5/4/18
saleg15y,In Percent,5/4/18,5/4/18
ebita_marg_sa3,In Percent,5/4/18,5/4/18
ebita_marg_sa10,In Percent,5/4/18,5/4/18
roic_sa5,In Percent,5/4/18,5/4/18
capx_incre,In Millions,5/4/18,5/4/18
ebitg1y,In Percent,5/4/18,5/4/18
ebitg3y,In Percent,5/4/18,5/4/18
ebitag15y,In Percent,5/4/18,5/4/18
ebitg5y,In Percent,5/4/18,5/4/18
epsg3y,In Percent,5/4/18,5/4/18
epsg5y,In Percent,5/4/18,5/4/18
noplatg1y,In Percent,5/4/18,5/4/18
xpr,In Millions,5/4/18,5/4/18
xintopt,In Millions,5/4/18,5/4/18
aqc,In Millions,5/4/18,5/4/18
nig1y,In Percent,5/4/18,5/4/18
seqo,In Millions,5/4/18,5/4/18
oopi_m,In Millions,5/4/18,5/4/18
am_intan_oop_m,In Millions,5/4/18,5/4/18
ebt_fin_m,In Millions,5/4/18,5/4/18
roae,In Percent,5/4/18,5/4/18
invt_turn,Ratio,5/4/18,5/4/18
ap_turn,Ratio,5/4/18,5/4/18
rect_turn,Ratio,5/4/18,5/4/18
ppegt,In Millions,5/4/18,5/4/18
restricted_cash,In Millions,5/4/18,5/4/18
ebit_fy1,In Millions,5/4/18,5/4/18
ebit_fy3,In Millions,5/4/18,5/4/18
ebit_fy0,In Millions,5/4/18,5/4/18
ebit_fy5,In Millions,5/4/18,5/4/18
mb_sa7,Ratio,5/4/18,5/4/18
mb_sa3,Ratio,5/4/18,5/4/18
prov_nop_m,In Millions,5/4/18,5/4/18
prov_eq_icsm_m,In Millions,5/4/18,5/4/18
nci_sec_m,In Millions,5/4/18,5/4/18
nci_fx_m,In Millions,5/4/18,5/4/18
pens_e_m,In Millions,5/4/18,5/4/18
sale_g_m,In Millions,5/4/18,5/4/18
txt_exe_m,In Millions,5/4/18,5/4/18
intan_op_m,In Millions,5/4/18,5/4/18
rf_us10yr,In Percent,5/4/18,5/4/18
rnev,In Millions,5/4/18,5/4/18
rcp,In Millions,5/4/18,5/4/18
roate,In Percent,5/4/18,5/4/18
rmcap,In Millions,5/4/18,5/4/18
rmva2,In Millions,5/4/18,5/4/18
rsaleg5y,In Percent,5/4/18,5/4/18
rebitdag3y,In Percent,5/4/18,5/4/18
repspx,In Single Unit,5/4/18,5/4/18
repsg1y,In Percent,5/4/18,5/4/18
r_premium,In Percent,5/4/18,5/4/18
prov_op_lt_m,In Millions,5/4/18,5/4/18
roaa_no_gdwl_bnk,In Percent,5/4/18,5/4/18
roate_bnk,In Percent,5/4/18,5/4/18
asset_leverage,Ratio,5/4/18,5/4/18
xopr_bank,In Millions,5/4/18,5/4/18
rsale,In Millions,5/4/18,5/4/18
roa_no_gdwl,In Percent,5/4/18,5/4/18
at_rwa,Ratio,5/4/18,5/4/18
ni_marg_bnk,In Percent,5/4/18,5/4/18
beta_ind_u,Not Applicable,5/4/18,5/4/18
